time,new_time_alt,acceleration_alt,velo_alt,altitude_alt,don’t_acc_sac_cus_it_was_adjusted,don’t_velo_sac,don’t_alt_sac,time_5,acc_5,velo_5,alt_5,time_6,acc_6,velo_6,alt_6,time_7,acc_7,velo_7,alt_7,time_8,acc_8,velo_8,alt_8,"velo_5, accel_5, time_5, alt_5"
0.05,0,30.93,26.22,1350.48,26.76127249,0,1403.556,0,-9.625800299,0,1403.556,0,-9.625800299,0,1403.556,0,-9.625800299,0,1403.556,0,-9.625800299,0,1403.556,"alt_6, time_6, acc_6, velo_6"
0.06,0.01,31.75,26.57,1352.09,27.17871987,0.053522545,1403.555955,0.002,-9.12861552,-0.019251601,1403.556015,0.002,-9.139498644,-0.019251601,1403.556014,0.002,-9.159895487,-0.019251601,1403.556011,0.002,-9.134117297,-0.019251601,1403.556014,"acc_7, time_7, alt_7, velo_7"
0.07,0.02,32.53,26.92,1350.39,27.27155956,0.080701265,1403.556054,0.003,-12.28761617,-0.028380216,1403.555979,0.003,-12.2293495,-0.028391099,1403.555977,0.003,-12.12014787,-0.028411496,1403.555974,0.003,-12.25816044,-0.028385718,1403.555978,"acc_8, alt_8, velo_8"
0.08,0.03,33.27,27.27,1350.2,27.54481547,0.217059063,1403.556693,0.008,-38.07840072,-0.089818297,1403.55577,0.008,-37.45558046,-0.089537847,1403.555764,0.008,-36.28830924,-0.089012235,1403.555754,0.008,-37.76354453,-0.08967652,1403.555767,
0.09,0.04,33.97,27.62,1352,27.63764096,0.241543343,1403.556892,0.008888889,-7.201525968,-0.123665764,1403.555773,0.008888889,-7.25459202,-0.122831696,1403.555765,0.008888889,-7.354046904,-0.12126851,1403.555751,0.008888889,-7.228352605,-0.123244115,1403.555769,
0.1,0.05,34.62,27.98,1351.05,27.68921144,0.272251839,1403.557131,0.01,38.50632925,-0.097267008,1403.555589,0.01,38.49581969,-0.097244918,1403.555583,0.01,38.4761236,-0.097203519,1403.555571,0.01,38.50101627,-0.097255841,1403.555586,
0.11,0.06,35.23,28.34,1351.14,28.11094139,0.328184323,1403.557636,0.012019336,-9.262767902,-0.019509787,1403.555819,0.012019351,-9.270719769,-0.019508352,1403.555818,0.012019378,-9.285622297,-0.019505662,1403.555815,0.012019344,-9.266787862,-0.019509062,1403.555818,
0.12,0.07,35.79,28.71,1351.14,28.20473548,0.356576514,1403.558016,0.013029004,-10.1917734,-0.028862108,1403.555905,0.013029026,-10.1793656,-0.02886877,1403.555903,0.013029068,-10.15611354,-0.028881255,1403.555899,0.013029015,-10.18550074,-0.028865476,1403.555904,
0.13,0.08,36.31,29.07,1351.81,28.48079235,0.499011133,1403.560071,0.018077344,-17.90666006,-0.080313648,1403.554801,0.018077403,-17.72519282,-0.080258046,1403.554795,0.018077514,-17.3851166,-0.080153848,1403.554785,0.018077374,-17.81492124,-0.080285539,1403.554798,
0.14,0.09,36.78,29.44,1354.09,28.57458066,0.524580682,1403.560525,0.018974827,-8.625937571,-0.096384565,1403.552826,0.018974893,-8.647833145,-0.096166216,1403.55282,0.018975016,-8.688868114,-0.095757017,1403.552808,0.01897486,-8.637006555,-0.096274182,1403.552823,
