time,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
-0.14,20.39,90305,960.59,22,29.79,26.1,9.05,9.03,9.07
-0.13,21.45,90296,961.41,22.82,30.2,26.1,9.05,9.03,9.07
-0.12,22.54,90296,961.41,22.82,30.62,26.1,9.05,9.03,9.07
-0.11,23.68,90307,960.41,21.82,31.04,26.1,9.05,9.03,9.07
-0.1,24.85,90277,963.15,24.56,31.47,26.1,9.05,9.03,9.07
-0.09,26.05,90273,963.52,24.92,31.9,26.1,9.02,9.05,9.07
-0.08,27.28,90267,964.07,25.47,32.33,26.1,9.05,9.03,9.07
-0.07,28.54,90276,963.24,24.65,32.77,26.1,9.05,9.03,9.07
-0.06,29.82,90263,964.43,25.84,33.22,26.1,9.05,9.03,9.07
-0.05,31.12,90262,964.52,25.93,33.67,26.1,9.05,9.03,9.07
-0.04,32.43,90262,964.52,25.93,34.12,26.1,9.05,9.02,9.07
-0.03,33.76,90234,967.08,28.49,34.58,26.1,9.05,9.02,9.07
-0.02,35.08,90242,966.35,27.76,35.04,26.1,9.05,9.02,9.07
-0.01,36.41,90251,965.53,26.93,35.5,26.1,9.05,9.03,9.07
0,37.73,90221,968.27,29.68,35.97,26.1,9.05,9.03,9.07
0,37.73,90221,968.27,29.68,35.97,26.1,9.05,9.03,9.07
0,37.73,90221,968.27,29.68,35.97,26.1,9.05,9.03,9.07
0,37.73,90221,968.27,29.68,35.97,26.1,9.05,9.03,9.07
0,37.73,90221,968.27,29.68,35.97,26.1,9.05,9.03,9.07
0,37.73,90221,968.27,29.68,35.97,26.1,9.05,9.03,9.07
0,37.73,90221,968.27,29.68,35.97,26.1,9.05,9.03,9.07
0,37.73,90221,968.27,29.68,35.97,26.1,9.05,9.03,9.07
0,37.73,90221,968.27,29.68,35.97,26.1,9.05,9.03,9.07
0,37.73,90221,968.27,29.68,35.97,26.1,9.05,9.03,9.07
0,37.73,90221,968.27,29.68,35.97,26.1,9.05,9.03,9.07
0,37.73,90221,968.27,29.68,35.97,26.1,9.05,9.03,9.07
0,37.73,90221,968.27,29.68,35.97,26.1,9.05,9.03,9.07
0,37.73,90221,968.27,29.68,35.97,26.1,9.05,9.03,9.07
0,37.73,90221,968.27,29.68,35.97,26.1,9.05,9.03,9.07
0,37.73,90221,968.27,29.68,35.97,26.1,9.05,9.03,9.07
0,37.73,90221,968.27,29.68,35.97,26.1,9.05,9.03,9.07
0.01,39.04,90225,967.91,29.31,36.45,26.1,9.05,9.03,9.08
0.02,40.32,90230,967.45,28.85,36.93,26.1,9.03,9.03,9.08
0.03,41.58,90198,970.37,31.78,37.41,26.1,9.05,9.02,9.07
0.04,42.8,90205,969.73,31.14,37.9,26.1,9.05,9.03,9.11
0.05,43.98,90200,970.19,31.6,38.39,26.1,9.05,9.03,9.07
0.06,45.12,90192,970.92,32.33,38.88,26.1,9.02,9.02,9.07
0.07,46.21,90182,971.84,33.24,39.38,26.1,9.05,9.03,9.03
0.08,47.23,90184,971.66,33.06,39.88,26.1,9.05,9.03,9.07
0.09,48.2,90172,972.75,34.16,40.39,26.1,9.07,9.05,9.08
0.1,49.11,90155,974.31,35.71,40.9,26.1,9.05,9.02,9.08
0.11,49.94,90163,973.58,34.98,41.41,26.1,9.03,9.05,9.07
0.12,50.71,90163,973.58,34.98,41.93,26.1,9.03,9.02,9.08
0.13,51.41,90182,971.84,33.24,42.45,26.1,9.05,9.03,9.05
0.14,52.04,90153,974.49,35.9,42.98,26,9.05,9.03,9.07
0.15,52.59,90138,975.86,37.27,43.5,26,9.03,9.02,9.07
0.16,53.09,90131,976.5,37.91,44.04,26.1,9.05,9.05,9.08
0.17,53.52,90121,977.42,38.83,44.57,26,9.03,9.03,9.07
0.18,53.89,90094,979.89,41.3,45.11,26.1,9.05,9.02,9.07
0.19,54.2,90113,978.15,39.56,45.65,26.1,9.05,9,9.05
0.2,54.47,90125,977.05,38.46,46.19,26.1,9.05,9.03,9.07
0.21,54.69,90091,980.17,41.57,46.74,26.1,9.03,9.02,9.07
0.22,54.87,90085,980.72,42.12,47.29,26.1,9.05,9.05,9.08
0.23,55.02,90085,980.72,42.12,47.84,26.1,9.02,9.02,9.08
0.24,55.13,90080,981.17,42.58,48.4,26.1,9.07,9.03,9.07
0.25,55.23,90074,981.72,43.13,48.96,26,9.05,9.03,9.07
0.26,55.31,90075,981.63,43.04,49.52,26,9.05,9.03,9.07
0.27,55.38,90047,984.19,45.6,50.08,26,9.05,9.03,9.07
0.28,55.43,90044,984.47,45.88,50.65,26,9.05,9.02,9.07
0.29,55.49,90041,984.74,46.15,51.21,26,9.05,9.03,9.07
0.3,55.54,90028,985.94,47.34,51.78,26,9.03,9.03,9.07
0.31,55.6,90030,985.75,47.16,52.36,26,9.1,9.02,9.07
0.32,55.66,90030,985.75,47.16,52.93,26,9.05,9.03,9.08
0.33,55.73,90010,987.58,48.99,53.5,26,9.03,9.03,9.07
0.34,55.8,90010,987.58,48.99,54.08,26,9.02,9.03,9.1
0.35,55.88,89999,988.59,50,54.66,26,9.05,9.02,9.05
0.36,55.97,89987,989.69,51.1,55.24,26,9.05,9.03,9.07
0.37,56.04,89974,990.88,52.29,55.82,26,9.03,9.05,9.07
0.38,56.1,89989,989.51,50.91,56.4,26,9.07,9.03,9.07
0.39,56.15,89961,992.07,53.48,56.98,26,9.05,9.02,9.07
0.4,56.19,89960,992.17,53.57,57.57,26,9.05,9.02,9.07
0.41,56.21,89962,991.98,53.39,58.15,26,9.05,9.03,9.07
0.42,56.22,89941,993.91,55.31,58.73,26,9.05,9.03,9.07
0.43,56.22,89950,993.08,54.49,59.32,26,9.05,9.03,9.07
0.44,56.21,89934,994.55,55.96,59.9,26,9.03,9.05,9.07
0.45,56.18,89934,994.55,55.96,60.49,26,9.03,9.03,9.08
0.46,56.14,89913,996.48,57.88,61.07,26,9.05,9.02,9.07
0.47,56.08,89905,997.21,58.61,61.66,26,9.07,9.02,9.07
0.48,56.02,89896,998.03,59.44,62.24,26,9.03,9,9.07
0.49,55.94,89913,996.48,57.88,62.83,26,9.05,9.03,9.05
0.5,55.84,89869,1000.51,61.92,63.41,26,9.05,9.03,9.07
0.51,55.74,89870,1000.42,61.82,63.99,26,9.05,9.03,9.07
0.52,55.62,89885,999.04,60.45,64.57,26,9.07,9.03,9.08
0.53,55.48,89848,1002.44,63.84,65.15,26,9.05,9.02,9.07
0.54,55.34,89861,1001.24,62.65,65.73,26,9.05,9.03,9.07
0.55,55.18,89847,1002.53,63.93,66.31,26,9.03,9.03,9.07
0.56,55.01,89847,1002.53,63.93,66.88,26,9.03,9.03,9.08
0.57,54.82,89827,1004.36,65.77,67.45,26,9.05,9.03,9.07
0.58,54.62,89817,1005.28,66.69,68.03,26,9.03,9.05,9.08
0.59,54.41,89807,1006.2,67.61,68.6,26,9.07,9,9.07
0.6,54.19,89813,1005.65,67.05,69.16,26,9.05,9.03,9.08
0.61,53.95,89777,1008.95,70.36,69.73,26,9.05,9,9.07
0.62,53.71,89775,1009.14,70.54,70.29,26,9.02,9.03,9.07
0.63,53.45,89775,1009.14,70.54,70.85,26,9.05,9.03,9.05
0.64,53.17,89751,1011.34,72.75,71.4,26,9.03,9.02,9.07
0.65,52.89,89761,1010.42,71.83,71.96,26,9.03,9.05,9.07
0.66,52.6,89751,1011.34,72.75,72.51,26,9.02,9.03,9.07
0.67,52.29,89751,1011.34,72.75,73.05,26,9.03,9.03,9.08
0.68,51.97,89727,1013.55,74.95,73.6,26,9.03,9.03,9.07
0.69,51.65,89712,1014.92,76.33,74.14,26,9.05,9.02,9.07
0.7,51.31,89706,1015.47,76.88,74.67,26,9.05,9.03,9.07
0.71,50.96,89709,1015.2,76.6,75.21,26,9.05,9.03,9.07
0.72,50.6,89684,1017.5,78.9,75.73,26,9.03,9.03,9.07
0.73,50.23,89689,1017.04,78.44,76.26,26,9.07,9.03,9.07
0.74,49.86,89678,1018.05,79.45,76.78,26,9.05,9.03,9.07
0.75,49.47,89662,1019.52,80.92,77.29,26,9.05,9.03,9.07
0.76,49.08,89667,1019.06,80.46,77.8,26,9.05,9.03,9.07
0.77,48.67,89645,1021.08,82.49,78.31,26,9.03,9.02,9.07
