accel_x,accel_y,accel_z,gryo_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,db_time,baro_pressure
-1014,-66,45,0,717,253,608,456,-215,5/2/2024 20:40,90923
-1016,-61,46,0,586,43,608,456,-215,5/2/2024 20:40,90937
-6637,-59,-1057,0,-11891,8356,608,456,-215,5/2/2024 20:40,90937
-5244,-704,-259,0,-4103,997,608,456,-215,5/2/2024 20:40,90640
-6728,-262,-166,0,-4427,-1111,608,456,-215,5/2/2024 20:40,90712
-8087,-39,-412,0,-6265,-945,608,456,-215,5/2/2024 20:40,90458
-9012,-434,-473,0,-8898,-1802,608,456,-215,5/2/2024 20:40,90129
-8476,-524,-601,0,-7236,-4812,608,456,-215,5/2/2024 20:40,89877
-6574,63,-327,0,-5267,-6247,608,456,-215,5/2/2024 20:40,89355
-7245,-549,-535,0,-3780,-6440,608,456,-215,5/2/2024 20:40,88911
-5104,559,691,0,-603,-8995,608,456,-215,5/2/2024 20:40,88414
-7057,-569,-71,0,-2913,-6965,608,456,-215,5/2/2024 20:40,87880
-5385,-124,46,0,3736,-5818,608,456,-215,5/2/2024 20:40,87281
-5323,-48,105,0,2721,875,608,456,-215,5/2/2024 20:40,85969
-5041,-281,-101,0,8478,-1146,608,456,-215,5/2/2024 20:40,85226
-5110,4,-167,0,-2826,3447,608,456,-215,5/2/2024 20:40,84556
-5031,47,-93,0,-341,1006,608,456,-215,5/2/2024 20:40,83758
-4726,71,-51,0,-341,-2432,608,456,-215,5/2/2024 20:40,82935
-4823,-54,-133,0,-6370,-288,608,456,-215,5/2/2024 20:40,82080
-1628,-22,-237,0,-5267,2345,608,456,-215,5/2/2024 20:40,81287
-67,136,-658,0,988,5460,608,456,-215,5/2/2024 20:40,80317
732,46,-243,0,-1356,9240,608,456,-215,5/2/2024 20:40,79096
328,36,-248,0,-8855,7446,608,456,-215,5/2/2024 20:40,78141
729,222,-256,0,-6151,-2240,608,456,-215,5/2/2024 20:40,77180
684,242,-194,0,-2301,3491,608,456,-215,5/2/2024 20:40,76208
677,15,-6,0,-10386,1225,608,456,-215,5/2/2024 20:41,75319
622,48,-87,0,901,-595,608,456,-215,5/2/2024 20:41,74555
587,-10,22,0,-857,5512,608,456,-215,5/2/2024 20:41,73584
569,-15,-267,0,-5320,4042,608,456,-215,5/2/2024 20:41,72859
543,53,-191,0,-2222,4488,608,456,-215,5/2/2024 20:41,72044
505,89,-123,0,-5250,5241,608,456,-215,5/2/2024 20:41,71178
479,106,-59,0,-4558,455,608,456,-215,5/2/2024 20:41,70450
473,17,-106,0,-3990,4208,608,456,-215,5/2/2024 20:41,69727
434,51,-66,0,-3885,1417,608,456,-215,5/2/2024 20:41,69097
423,-18,-57,0,-1382,6352,608,456,-215,5/2/2024 20:41,67704
368,80,3,0,-1837,6667,608,456,-215,5/2/2024 20:41,66460
354,44,-113,0,-2992,1522,608,456,-215,5/2/2024 20:41,65780
344,61,-31,0,-3045,4436,608,456,-215,5/2/2024 20:41,65239
322,-13,-100,0,-3080,726,608,456,-215,5/2/2024 20:41,64624
319,19,-34,0,-2913,3535,608,456,-215,5/2/2024 20:41,64090
280,-65,-50,0,-4243,1916,608,456,-215,5/2/2024 20:41,63016
248,28,-20,0,1531,796,608,456,-215,5/2/2024 20:41,62496
235,3,-28,0,-140,1233,608,456,-215,5/2/2024 20:41,61535
208,0,2,0,-2003,-1067,608,456,-215,5/2/2024 20:41,61065
207,-29,10,0,-2712,1347,608,456,-215,5/2/2024 20:41,60613
204,6,-41,0,-673,-113,608,456,-215,5/2/2024 20:41,60181
186,13,2,0,-1898,-420,608,456,-215,5/2/2024 20:41,59747
175,11,7,0,-1102,1006,608,456,-215,5/2/2024 20:41,59355
166,-4,8,0,-332,-201,608,456,-215,5/2/2024 20:41,58927
144,-36,-22,0,-183,-857,608,456,-215,5/2/2024 20:41,58133
140,-8,-6,0,-1225,-262,608,456,-215,5/2/2024 20:41,57775
125,-37,2,0,148,437,608,456,-215,5/2/2024 20:41,57414
125,-15,-5,0,988,-953,608,456,-215,5/2/2024 20:41,57099
106,-37,5,0,-385,-1163,608,456,-215,5/2/2024 20:41,56723
106,-10,51,0,1820,-656,608,456,-215,5/2/2024 20:41,56410
87,-13,5,0,1443,-1601,608,456,-215,5/2/2024 20:41,55783
85,-37,2,0,1925,-822,608,456,-215,5/2/2024 20:41,55523
77,-58,-27,0,2493,323,608,456,-215,5/2/2024 20:41,54976
72,-21,0,0,3386,1767,608,456,-215,5/2/2024 20:41,54735
67,-33,-5,0,3587,1575,608,456,-215,5/2/2024 20:41,54480
55,-29,2,0,2091,1452,608,456,-215,5/2/2024 20:41,54209
54,-35,-13,0,1163,1863,608,456,-215,5/2/2024 20:41,53756
44,-11,0,0,2091,2371,608,456,-215,5/2/2024 20:41,53315
30,-11,-13,0,498,-603,608,456,-215,5/2/2024 20:41,53167
29,-4,0,0,-1111,-87,608,456,-215,5/2/2024 20:41,52945
23,-21,17,0,-1233,1435,608,456,-215,5/2/2024 20:41,52772
19,-8,5,0,183,2143,608,456,-215,5/2/2024 20:41,52600
13,-6,9,0,1155,1540,608,456,-215,5/2/2024 20:41,52442
13,-19,-5,0,-253,848,608,456,-215,5/2/2024 20:41,52281
