altitude,time
960.59,-0.14
961.41,-0.13
961.41,-0.12
960.41,-0.11
963.15,-0.1
963.52,-0.09
964.07,-0.08
963.24,-0.07
964.43,-0.06
964.52,-0.05
964.52,-0.04
967.08,-0.03
966.35,-0.02
965.53,-0.01
968.27,0
968.27,0
968.27,0
968.27,0
968.27,0
968.27,0
968.27,0
968.27,0
968.27,0
968.27,0
968.27,0
968.27,0
968.27,0
968.27,0
968.27,0
968.27,0
968.27,0
967.91,0.01
967.45,0.02
970.37,0.03
969.73,0.04
970.19,0.05
970.92,0.06
971.84,0.07
971.66,0.08
972.75,0.09
974.31,0.1
973.58,0.11
973.58,0.12
971.84,0.13
974.49,0.14
975.86,0.15
976.5,0.16
977.42,0.17
979.89,0.18
978.15,0.19
977.05,0.2
980.17,0.21
980.72,0.22
980.72,0.23
981.17,0.24
981.72,0.25
981.63,0.26
984.19,0.27
984.47,0.28
984.74,0.29
985.94,0.3
985.75,0.31
985.75,0.32
987.58,0.33
987.58,0.34
988.59,0.35
989.69,0.36
990.88,0.37
989.51,0.38
992.07,0.39
992.17,0.4
991.98,0.41
993.91,0.42
993.08,0.43
994.55,0.44
994.55,0.45
996.48,0.46
997.21,0.47
998.03,0.48
996.48,0.49
1000.51,0.5
1000.42,0.51
999.04,0.52
1002.44,0.53
1001.24,0.54
1002.53,0.55
1002.53,0.56
1004.36,0.57
1005.28,0.58
1006.2,0.59
1005.65,0.6
1008.95,0.61
1009.14,0.62
1009.14,0.63
1011.34,0.64
1010.42,0.65
1011.34,0.66
1011.34,0.67
1013.55,0.68
1014.92,0.69
1015.47,0.7
1015.2,0.71
1017.5,0.72
1017.04,0.73
1018.05,0.74
1019.52,0.75
1019.06,0.76
1021.08,0.77
1021.08,0.78
1022.46,0.79
1023.56,0.8
1024.3,0.81
1025.13,0.82
1026.96,0.83
1025.31,0.84
1029.17,0.85
1028.25,0.86
1029.36,0.87
1031.01,0.88
1031.01,0.89
1031.75,0.9
1033.77,0.91
1033.13,0.92
1035.06,0.93
1034.51,0.94
1035.61,0.95
1037.36,0.96
1036.63,0.97
1038.93,0.98
1039.2,0.99
1039.2,1
1039.76,1.01
1041.05,1.02
1043.53,1.03
1043.44,1.04
1043.99,1.05
1045.93,1.06
1045.28,1.07
1047.86,1.08
1047.77,1.09
1048.69,1.1
1048.69,1.11
1050.72,1.12
1051.46,1.13
1052.1,1.14
1052.66,1.15
1054.87,1.16
1053.76,1.17
1056.81,1.18
1057.64,1.19
1058.01,1.2
1059.39,1.21
1059.39,1.22
1060.13,1.23
1060.68,1.24
1062.81,1.25
1064.47,1.26
1063.36,1.27
1066.13,1.28
1066.68,1.29
1067.79,1.3
1069.08,1.31
1067.98,1.32
1067.98,1.33
1071.21,1.34
1072.69,1.35
1073.8,1.36
1073.7,1.37
1076.57,1.38
1076.48,1.39
1078.79,1.4
1078.88,1.41
1079.62,1.42
1080.73,1.43
1080.73,1.44
1081.28,1.45
1083.96,1.46
1084.52,1.47
1086.28,1.48
1085.91,1.49
1088.87,1.5
1088.68,1.51
1090.63,1.52
1092.29,1.53
1091.83,1.54
1091.83,1.55
1092.75,1.56
1095.07,1.57
1096.74,1.58
1097.11,1.59
1099.05,1.6
1099.89,1.61
1100.16,1.62
1103.13,1.63
1102.94,1.64
1104.8,1.65
1104.8,1.66
1106.37,1.67
1108.04,1.68
1108.87,1.69
1109.34,1.7
1111.38,1.71
1111.93,1.72
1113.42,1.73
1114.35,1.74
1114.81,1.75
1116.57,1.76
1116.57,1.77
1118.24,1.78
1119.17,1.79
1120.75,1.8
1122.23,1.81
1122.51,1.82
1124.37,1.83
1123.81,1.84
1126.04,1.85
1127.16,1.86
1127.99,1.87
1127.99,1.88
1129.85,1.89
1131.8,1.9
1132.17,1.91
1133.66,1.92
1135.61,1.93
1136.36,1.94
1139.24,1.95
1138.4,1.96
1139.98,1.97
1140.82,1.98
1140.82,1.99
1141.84,2
1143.98,2.01
1145.66,2.02
1146.77,2.03
1147.24,2.04
1149.1,2.05
1149.38,2.06
1150.96,2.07
1152.27,2.08
1152.73,2.09
1152.73,2.1
1154.41,2.11
1156.74,2.12
1157.58,2.13
1158.6,2.14
1159.25,2.15
1160.28,2.16
1162.14,2.17
1162.42,2.18
1164.66,2.19
1164.38,2.2
1164.38,2.21
1166.62,2.22
1168.11,2.23
1169.88,2.24
1170.35,2.25
1172.03,2.26
1172.87,2.27
1174.64,2.28
1175.76,2.29
1177.16,2.3
1177.53,2.31
1177.53,2.32
1180.15,2.33
1181.64,2.34
1182.95,2.35
1183.88,2.36
1185,2.37
1186.87,2.38
1187.62,2.39
1189.11,2.4
1191.08,2.41
1191.45,2.42
1191.45,2.43
1192.76,2.44
1194.26,2.45
1196.41,2.46
1198,2.47
1199.31,2.48
1200.05,2.49
1201.46,2.5
1202.95,2.51
1203.8,2.52
1205.95,2.53
1205.95,2.54
1206.79,2.55
1209.41,2.56
1210.73,2.57
1212.32,2.58
1213.25,2.59
1214.57,2.6
1215.78,2.61
1216.91,2.62
1218.59,2.63
1219.44,2.64
1219.44,2.65
1222.34,2.66
1224.97,2.67
1225.53,2.68
1226.28,2.69
1227.69,2.7
1228.44,2.71
1229.47,2.72
1230.97,2.73
1232.57,2.74
1233.51,2.75
1233.51,2.76
1235.29,2.77
1238.39,2.78
1239.52,2.79
1240.93,2.8
1242.05,2.81
1243.18,2.82
1245.06,2.83
1246.19,2.84
1246.75,2.85
1248.26,2.86
1248.26,2.87
1250.51,2.88
1252.86,2.89
1253.8,2.9
1255.5,2.91
1256.72,2.92
1258.7,2.93
1260.11,2.94
1261.71,2.95
1262.46,2.96
1264.72,2.97
1264.72,2.98
1267.07,2.99
1268.67,3
1270.18,3.01
1270.94,3.02
1271.69,3.03
1273.29,3.04
1275.08,3.05
1276.68,3.06
1278.1,3.07
1280.46,3.08
1280.46,3.09
1282.53,3.1
1285.83,3.11
1287.44,3.12
1289.23,3.13
1291.12,3.14
1293.95,3.15
1295.65,3.16
1297.35,3.17
1298.96,3.18
1300.56,3.19
1300.56,3.2
1303.02,3.21
1306.23,3.22
1307.46,3.23
1308.88,3.24
1309.73,3.25
1311.24,3.26
1312.47,3.27
1313.61,3.28
1315.03,3.29
1316.73,3.3
1316.73,3.31
1318.34,3.32
1321.28,3.33
1322.22,3.34
1322.98,3.35
1324.4,3.36
1325.16,3.37
1326.77,3.38
1329.99,3.39
1331.13,3.4
1333.21,3.41
1333.21,3.42
1335.11,3.43
1335.49,3.44
1336.15,3.45
1337.48,3.46
1338.52,3.47
1339.47,3.48
1340.8,3.49
1342.32,3.5
1343.74,3.51
1344.4,3.52
1344.4,3.53
1346.21,3.54
1347.73,3.55
1349.34,3.56
1350.39,3.57
1352,3.58
1353.42,3.59
1353.33,3.6
1354.66,3.61
1355.8,3.62
1355.89,3.63
1355.89,3.64
1357.98,3.65
1360.65,3.66
1363.02,3.67
1365.49,3.68
1367.21,3.69
1370.35,3.7
1373.58,3.71
1376.53,3.72
1378.72,3.73
1380.82,3.74
1380.82,3.75
1382.44,3.76
1383.39,3.77
1385.48,3.78
1386.34,3.79
1388.25,3.8
1389.49,3.81
1390.82,3.82
1390.92,3.83
1392.82,3.84
1393.59,3.85
1393.59,3.86
1394.83,3.87
1397.02,3.88
1398.64,3.89
1399.69,3.9
1400.27,3.91
1401.51,3.92
1403.13,3.93
1404.08,3.94
1405.32,3.95
1407.14,3.96
1407.14,3.97
1409.33,3.98
1412.01,3.99
1413.54,4
1415.74,4.01
1416.98,4.02
1418.79,4.03
1420.9,4.04
1422.81,4.05
1425.68,4.06
1427.79,4.07
1427.79,4.08
1429.79,4.09
1434.01,4.1
1435.06,4.11
1437.26,4.12
1439.94,4.13
1442.63,4.14
1444.74,4.15
1447.13,4.16
1448.09,4.17
1449.63,4.18
1449.63,4.19
1452.12,4.2
1457.11,4.21
1460.85,4.22
1462.96,4.23
1464.4,4.24
1465.27,4.25
1467,4.26
1468.53,4.27
1470.65,4.28
1473.53,4.29
1473.53,4.3
1474.78,4.31
1477.09,4.32
1477.86,4.33
1479.01,4.34
1481.51,4.35
1482.86,4.36
1484.3,4.37
1486.42,4.38
1488.54,4.39
1490.46,4.4
1490.46,4.41
1494.32,4.42
1498.36,4.43
1500.77,4.44
1503.08,4.45
1505.78,4.46
1508.87,4.47
1510.51,4.48
1513.6,4.49
1515.72,4.5
1517.07,4.51
1517.07,4.52
1519.2,4.53
1522.96,4.54
1525.57,4.55
1527.79,4.56
1530.5,4.57
1532.92,4.58
1534.27,4.59
1536.88,4.6
1539.01,4.61
1540.46,4.62
1540.46,4.63
1543.85,4.64
1546.66,4.65
1549.95,4.66
1550.63,4.67
1552.18,4.68
1554.12,4.69
1555.18,4.7
1557.8,4.71
1559.74,4.72
1562.16,4.73
1562.16,4.74
1563.71,4.75
1568.18,4.76
1570.21,4.77
1572.15,4.78
1574.48,4.79
1576.43,4.8
1579.05,4.81
1580.89,4.82
1583.62,4.83
1585.07,4.84
1585.07,4.85
1587.79,4.86
1590.91,4.87
1594.02,4.88
1596.06,4.89
1597.23,4.9
1600.44,4.91
1603.07,4.92
1605.5,4.93
1607.94,4.94
1612.13,4.95
1612.13,4.96
1614.08,4.97
1618.37,4.98
1620.81,4.99
1623.44,5
1624.51,5.01
1626.66,5.02
1628.12,5.03
1631.35,5.04
1635.16,5.05
1637.01,5.06
1637.01,5.07
1640.82,5.08
1644.54,5.09
1645.42,5.1
1647.96,5.11
1650.8,5.12
1652.95,5.13
1655.3,5.14
1658.14,5.15
1661.27,5.16
1665.58,5.17
1665.58,5.18
1667.93,5.19
1673.32,5.2
1674.79,5.21
1676.46,5.22
1678.42,5.23
1680.78,5.24
1684.9,5.25
1687.06,5.26
1690.4,5.27
1693.74,5.28
1693.74,5.29
1697.38,5.3
1703.37,5.31
1707.21,5.32
1712.13,5.33
1716.76,5.34
1720.3,5.35
1723.16,5.36
1727.69,5.37
1731.84,5.38
1734.7,5.39
1734.7,5.4
1739.73,5.41
1746.15,5.42
1752.77,5.43
1756.82,5.44
1761.76,5.45
1765.03,5.46
1769.29,5.47
1773.25,5.48
1777.6,5.49
1781.27,5.5
1781.27,5.51
1785.83,5.52
1792.28,5.53
1796.45,5.54
1799.43,5.55
1802.9,5.56
1804.89,5.57
1807.47,5.58
1809.66,5.59
1811.45,5.6
1814.13,5.61
1814.13,5.62
1816.82,5.63
1821.79,5.64
1823.38,5.65
1826.87,5.66
1830.55,5.67
1833.44,5.68
1836.83,5.69
1839.62,5.7
1844.21,5.71
1849.7,5.72
1849.7,5.73
1855.89,5.74
1864.68,5.75
1868.48,5.76
1872.68,5.77
1875.98,5.78
1878.58,5.79
1883.39,5.8
1886.79,5.81
1889.19,5.82
1892.9,5.83
1892.9,5.84
1898.82,5.85
1906.64,5.86
1911.46,5.87
1915.38,5.88
1919.5,5.89
1923.12,5.9
1924.42,5.91
1927.54,5.92
1929.96,5.93
1932.37,5.94
1932.37,5.95
1934.89,5.96
1939.92,5.97
1943.95,5.98
1946.07,5.99
1946.87,6
1952.62,6.01
1956.25,6.02
1959.58,6.03
1961.19,6.04
1965.94,6.05
1965.94,6.06
1973.31,6.07
1978.67,6.08
1979.68,6.09
1982,6.1
1986.76,6.11
1992.32,6.12
1997.18,6.13
2002.96,6.14
2006,6.15
2009.75,6.16
2009.75,6.17
2012.59,6.18
2017.87,6.19
2019.29,6.2
2023.45,6.21
2025.59,6.22
2030.16,6.23
2033.92,6.24
2037.17,6.25
2039.1,6.26
2041.75,6.27
2041.75,6.28
2043.99,6.29
2052.23,6.3
2054.88,6.31
2056.41,6.32
2059.37,6.33
2063.34,6.34
2066.91,6.35
2071.71,6.36
2074.56,6.37
2078.14,6.38
2078.14,6.39
2077.93,6.4
2079.98,6.41
2081.61,6.42
2083.14,6.43
2086,6.44
2087.23,6.45
2087.84,6.46
2089.58,6.47
2093.98,6.48
2097.05,6.49
2097.05,6.5
2098.48,6.51
2101.75,6.52
2103.49,6.53
2106.36,6.54
2109.02,6.55
2115.27,6.56
2121.43,6.57
2126.86,6.58
2130.35,6.59
2134.05,6.6
2134.05,6.61
2140.62,6.62
2148.54,6.63
2153.68,6.64
2156.97,6.65
2160.48,6.66
2164.29,6.67
2167.89,6.68
2171.09,6.69
2174.18,6.7
2176.24,6.71
2176.24,6.72
2179.85,6.73
2183.98,6.74
2186.25,6.75
2188.42,6.76
2190.9,6.77
2194.31,6.78
2196.58,6.79
2199.37,6.8
2201.23,6.81
2201.85,6.82
2201.85,6.83
2203.82,6.84
2207.54,6.85
2207.54,6.86
2208.37,6.87
2210.44,6.88
2212.82,6.89
2214.37,6.9
2216.13,6.91
2216.96,6.92
2217.79,6.93
2217.79,6.94
2219.75,6.95
2220.06,6.96
2221,6.97
2223.07,6.98
2225.45,6.99
2229.39,7
2232.4,7.01
2235.72,7.02
2239.77,7.03
2243.5,7.04
2243.5,7.05
2246.2,7.06
2254.52,7.07
2260.86,7.08
2266.16,7.09
2271.16,7.1
2275.54,7.11
2280.12,7.12
2285.23,7.13
2290.44,7.14
2294.51,7.15
2294.51,7.16
2298.48,7.17
2305.16,7.18
2308.93,7.19
2312.27,7.2
2315.41,7.21
2318.55,7.22
2322.42,7.23
2325.45,7.24
2328.49,7.25
2331,7.26
2331,7.27
2333.83,7.28
2335.51,7.29
2337.82,7.3
2340.12,7.31
2342.64,7.32
2345.26,7.33
2347.15,7.34
2349.35,7.35
2351.77,7.36
2355.34,7.37
2355.34,7.38
2358.91,7.39
2365.53,7.4
2368.05,7.41
2371.1,7.42
2373.1,7.43
2373.94,7.44
2375.52,7.45
2375.63,7.46
2377.31,7.47
2377.31,7.48
2377.31,7.49
2378.89,7.5
2382.47,7.51
2383.73,7.52
2385.63,7.53
2386.16,7.54
