altitude,speed,acceleration,time
968.27,35.97,37.73,0
968.27,35.97,37.73,0
968.27,35.97,37.73,0
968.27,35.97,37.73,0
968.27,35.97,37.73,0
968.27,35.97,37.73,0
968.27,35.97,37.73,0
968.27,35.97,37.73,0
968.27,35.97,37.73,0
968.27,35.97,37.73,0
968.27,35.97,37.73,0
968.27,35.97,37.73,0
968.27,35.97,37.73,0
968.27,35.97,37.73,0
968.27,35.97,37.73,0
968.27,35.97,37.73,0
968.27,35.97,37.73,0
967.91,36.45,39.04,0.01
967.45,36.93,40.32,0.02
970.37,37.41,41.58,0.03
969.73,37.9,42.8,0.04
970.19,38.39,43.98,0.05
970.92,38.88,45.12,0.06
971.84,39.38,46.21,0.07
971.66,39.88,47.23,0.08
972.75,40.39,48.2,0.09
974.31,40.9,49.11,0.1
973.58,41.41,49.94,0.11
973.58,41.93,50.71,0.12
971.84,42.45,51.41,0.13
974.49,42.98,52.04,0.14
975.86,43.5,52.59,0.15
976.5,44.04,53.09,0.16
977.42,44.57,53.52,0.17
979.89,45.11,53.89,0.18
978.15,45.65,54.2,0.19
977.05,46.19,54.47,0.2
980.17,46.74,54.69,0.21
980.72,47.29,54.87,0.22
980.72,47.84,55.02,0.23
981.17,48.4,55.13,0.24
981.72,48.96,55.23,0.25
981.63,49.52,55.31,0.26
984.19,50.08,55.38,0.27
984.47,50.65,55.43,0.28
984.74,51.21,55.49,0.29
985.94,51.78,55.54,0.3
985.75,52.36,55.6,0.31
985.75,52.93,55.66,0.32
987.58,53.5,55.73,0.33
987.58,54.08,55.8,0.34
988.59,54.66,55.88,0.35
989.69,55.24,55.97,0.36
990.88,55.82,56.04,0.37
989.51,56.4,56.1,0.38
992.07,56.98,56.15,0.39
992.17,57.57,56.19,0.4
991.98,58.15,56.21,0.41
993.91,58.73,56.22,0.42
993.08,59.32,56.22,0.43
994.55,59.9,56.21,0.44
994.55,60.49,56.18,0.45
996.48,61.07,56.14,0.46
997.21,61.66,56.08,0.47
998.03,62.24,56.02,0.48
996.48,62.83,55.94,0.49
1000.51,63.41,55.84,0.5
1000.42,63.99,55.74,0.51
999.04,64.57,55.62,0.52
1002.44,65.15,55.48,0.53
1001.24,65.73,55.34,0.54
1002.53,66.31,55.18,0.55
1002.53,66.88,55.01,0.56
1004.36,67.45,54.82,0.57
1005.28,68.03,54.62,0.58
1006.2,68.6,54.41,0.59
1005.65,69.16,54.19,0.6
1008.95,69.73,53.95,0.61
1009.14,70.29,53.71,0.62
1009.14,70.85,53.45,0.63
1011.34,71.4,53.17,0.64
1010.42,71.96,52.89,0.65
1011.34,72.51,52.6,0.66
1011.34,73.05,52.29,0.67
1013.55,73.6,51.97,0.68
1014.92,74.14,51.65,0.69
1015.47,74.67,51.31,0.7
1015.2,75.21,50.96,0.71
1017.5,75.73,50.6,0.72
1017.04,76.26,50.23,0.73
1018.05,76.78,49.86,0.74
1019.52,77.29,49.47,0.75
1019.06,77.8,49.08,0.76
1021.08,78.31,48.67,0.77
1021.08,78.81,48.27,0.78
1022.46,79.3,47.85,0.79
1023.56,79.8,47.42,0.8
1024.3,80.28,46.99,0.81
1025.13,80.76,46.56,0.82
1026.96,81.24,46.11,0.83
1025.31,81.71,45.67,0.84
1029.17,82.18,45.21,0.85
1028.25,82.64,44.76,0.86
1029.36,83.09,44.29,0.87
